evaluation_case_id,customer_id,merchant_id,amount,failure_category,payment_method,time_since_failure_min,customer_success_rate,customer_failure_rate,payment_method_success_rate,payment_method_failure_rate,previous_recovery_attempts,previous_recovery_successes,previous_recovery_failures,candidate_action
evaluation_030,cust_0105,merchant_004,823.85,UNKNOWN_FAILURE,CARD,2051,0.6604,0.4829,0.9236,0.7380,4,2,0,RETRY
evaluation_031,cust_0217,merchant_017,487.64,INSUFFICIENT_FUNDS,NETBANKING,531,0.4286,0.6402,0.1345,0.0719,3,2,1,RETRY
evaluation_032,cust_0071,merchant_033,960.69,INSUFFICIENT_FUNDS,NETBANKING,1019,0.2756,0.1021,0.8448,0.7457,1,0,0,RETRY
evaluation_033,cust_0300,merchant_037,80.95,UNKNOWN_FAILURE,CARD,2184,0.3818,0.1717,0.3449,0.0750,3,0,3,REMINDER
evaluation_034,cust_0079,merchant_014,413.87,PAYMENT_METHOD_ERROR,UPI,1679,0.3673,0.7733,0.6546,0.2213,2,1,0,REMINDER
evaluation_035,cust_0048,merchant_039,995.48,TEMPORARY_FAILURE,UPI,423,0.3786,0.3249,0.2384,0.1648,5,2,2,RETRY
evaluation_036,cust_0311,merchant_020,52.17,UNKNOWN_FAILURE,WALLET,1067,0.4240,0.7032,0.2046,0.1434,0,0,0,REMINDER
evaluation_037,cust_0279,merchant_050,768.23,INSUFFICIENT_FUNDS,CARD,1901,0.6093,0.2764,0.4441,0.2259,2,1,0,REMINDER
evaluation_038,cust_0155,merchant_025,396.39,PAYMENT_METHOD_ERROR,UPI,495,0.2193,0.2548,0.1314,0.5856,4,0,2,REMINDER
evaluation_039,cust_0014,merchant_011,281.15,TEMPORARY_FAILURE,UPI,2334,0.2388,0.2859,0.4834,0.6284,5,2,0,RETRY
evaluation_040,cust_0245,merchant_031,999.79,UNKNOWN_FAILURE,CARD,2474,0.4231,0.1600,0.5878,0.6798,4,1,2,RETRY
evaluation_041,cust_0258,merchant_038,930.04,UNKNOWN_FAILURE,UPI,2512,0.2145,0.4447,0.8582,0.2701,3,3,0,REMINDER
evaluation_042,cust_0047,merchant_015,12.17,UNKNOWN_FAILURE,CARD,1578,0.9197,0.4333,0.2156,0.1541,5,1,3,REMINDER
evaluation_043,cust_0199,merchant_023,29.82,PAYMENT_METHOD_ERROR,WALLET,335,0.3365,0.1971,0.8393,0.6436,0,0,0,REMINDER
evaluation_044,cust_0042,merchant_032,975.72,INSUFFICIENT_FUNDS,NETBANKING,547,0.2258,0.8376,0.8494,0.0561,2,1,1,RETRY
evaluation_045,cust_0242,merchant_027,939.70,INSUFFICIENT_FUNDS,CARD,1041,0.2048,0.2427,0.1803,0.2483,1,1,0,RETRY
evaluation_046,cust_0148,merchant_013,850.65,INSUFFICIENT_FUNDS,CARD,1687,0.8463,0.7364,0.6014,0.2533,0,0,0,REMINDER
evaluation_047,cust_0211,merchant_042,909.93,INSUFFICIENT_FUNDS,UPI,323,0.4763,0.4025,0.7489,0.4336,0,0,0,RETRY
evaluation_048,cust_0323,merchant_004,624.95,TEMPORARY_FAILURE,UPI,2350,0.8731,0.5508,0.1318,0.6973,4,4,0,RETRY
evaluation_049,cust_0111,merchant_008,484.45,UNKNOWN_FAILURE,WALLET,1268,0.2761,0.6273,0.6042,0.8278,2,0,0,REMINDER
evaluation_050,cust_0229,merchant_049,339.07,INSUFFICIENT_FUNDS,UPI,1780,0.5357,0.2361,0.6774,0.2242,1,0,0,RETRY
evaluation_051,cust_0152,merchant_018,270.96,INSUFFICIENT_FUNDS,WALLET,780,0.7453,0.4296,0.7239,0.8306,0,0,0,REMINDER
evaluation_052,cust_0093,merchant_048,716.62,UNKNOWN_FAILURE,NETBANKING,1548,0.7523,0.6938,0.4311,0.5954,1,1,0,REMINDER
evaluation_053,cust_0324,merchant_013,308.54,INSUFFICIENT_FUNDS,NETBANKING,2479,0.7308,0.7384,0.4170,0.7522,5,0,2,RETRY
evaluation_054,cust_0219,merchant_023,389.05,UNKNOWN_FAILURE,CARD,2314,0.4696,0.6575,0.9174,0.1354,4,3,0,RETRY
evaluation_055,cust_0142,merchant_008,923.67,PAYMENT_METHOD_ERROR,UPI,812,0.8849,0.3232,0.5012,0.4949,1,0,1,RETRY
evaluation_056,cust_0271,merchant_049,586.29,PAYMENT_METHOD_ERROR,NETBANKING,794,0.8252,0.7801,0.3067,0.8110,4,1,0,RETRY
evaluation_057,cust_0301,merchant_022,558.93,PAYMENT_METHOD_ERROR,CARD,1496,0.2281,0.7621,0.5428,0.6087,3,1,0,REMINDER
evaluation_058,cust_0009,merchant_028,885.93,TEMPORARY_FAILURE,NETBANKING,75,0.1707,0.3668,0.6981,0.4288,2,0,1,RETRY
evaluation_059,cust_0255,merchant_026,288.13,PAYMENT_METHOD_ERROR,NETBANKING,105,0.8756,0.5600,0.9052,0.7396,5,3,1,RETRY
evaluation_060,cust_0332,merchant_005,705.39,PAYMENT_METHOD_ERROR,NETBANKING,2235,0.8011,0.3758,0.7411,0.6619,1,1,0,RETRY
evaluation_061,cust_0125,merchant_007,473.42,INSUFFICIENT_FUNDS,NETBANKING,964,0.8188,0.3482,0.6599,0.2271,3,0,0,REMINDER
evaluation_062,cust_0019,merchant_046,220.17,INSUFFICIENT_FUNDS,NETBANKING,2539,0.3324,0.6340,0.6304,0.4056,4,1,1,RETRY
evaluation_063,cust_0174,merchant_022,445.35,PAYMENT_METHOD_ERROR,WALLET,1858,0.1697,0.3105,0.3148,0.3982,5,2,0,RETRY
evaluation_064,cust_0250,merchant_018,885.82,INSUFFICIENT_FUNDS,WALLET,721,0.6190,0.6358,0.5882,0.2385,3,1,0,REMINDER
evaluation_065,cust_0148,merchant_010,993.87,TEMPORARY_FAILURE,UPI,2186,0.8072,0.2614,0.8060,0.2911,1,1,0,RETRY
evaluation_066,cust_0337,merchant_037,688.32,PAYMENT_METHOD_ERROR,UPI,827,0.5603,0.4282,0.1492,0.6853,2,0,0,REMINDER
evaluation_067,cust_0055,merchant_018,13.36,INSUFFICIENT_FUNDS,NETBANKING,1711,0.8065,0.2700,0.4075,0.7542,1,1,0,RETRY
evaluation_068,cust_0051,merchant_008,827.75,UNKNOWN_FAILURE,UPI,590,0.8495,0.7451,0.8911,0.5376,3,1,0,REMINDER
evaluation_069,cust_0272,merchant_008,369.84,TEMPORARY_FAILURE,WALLET,297,0.6735,0.1107,0.2219,0.1846,0,0,0,REMINDER
evaluation_070,cust_0204,merchant_038,112.28,TEMPORARY_FAILURE,CARD,2471,0.3821,0.3359,0.5942,0.1224,0,0,0,REMINDER
evaluation_071,cust_0234,merchant_019,266.98,INSUFFICIENT_FUNDS,UPI,266,0.3200,0.4179,0.3159,0.3762,5,1,2,RETRY
evaluation_072,cust_0270,merchant_037,944.84,PAYMENT_METHOD_ERROR,WALLET,1503,0.1261,0.0792,0.7440,0.2617,3,0,0,REMINDER
evaluation_073,cust_0340,merchant_018,420.10,INSUFFICIENT_FUNDS,NETBANKING,878,0.2188,0.7588,0.6888,0.7358,5,5,0,RETRY
evaluation_074,cust_0325,merchant_047,187.00,PAYMENT_METHOD_ERROR,WALLET,951,0.6909,0.4784,0.1738,0.8432,3,1,2,REMINDER
evaluation_075,cust_0051,merchant_006,357.93,UNKNOWN_FAILURE,NETBANKING,364,0.2356,0.2005,0.4773,0.3849,1,0,1,REMINDER
evaluation_076,cust_0132,merchant_006,270.88,TEMPORARY_FAILURE,CARD,377,0.3980,0.4092,0.6609,0.8037,5,4,1,REMINDER
evaluation_077,cust_0269,merchant_016,686.30,INSUFFICIENT_FUNDS,WALLET,321,0.6393,0.1139,0.6930,0.8530,4,0,3,REMINDER
evaluation_078,cust_0166,merchant_027,590.35,INSUFFICIENT_FUNDS,CARD,2544,0.5774,0.8010,0.1109,0.4456,0,0,0,REMINDER
evaluation_079,cust_0235,merchant_007,434.27,TEMPORARY_FAILURE,NETBANKING,700,0.2237,0.7897,0.5818,0.3828,2,2,0,RETRY
evaluation_080,cust_0229,merchant_038,762.21,PAYMENT_METHOD_ERROR,UPI,2452,0.2616,0.4173,0.4077,0.1545,4,2,0,REMINDER
evaluation_081,cust_0265,merchant_004,110.79,UNKNOWN_FAILURE,NETBANKING,131,0.1739,0.3535,0.9464,0.2226,4,0,2,RETRY
evaluation_082,cust_0035,merchant_005,647.14,UNKNOWN_FAILURE,NETBANKING,1619,0.7894,0.7241,0.8907,0.3262,0,0,0,RETRY
evaluation_083,cust_0038,merchant_048,588.27,TEMPORARY_FAILURE,CARD,1038,0.2627,0.6065,0.6946,0.8395,3,1,2,REMINDER
evaluation_084,cust_0326,merchant_034,928.89,TEMPORARY_FAILURE,NETBANKING,335,0.4659,0.8682,0.2579,0.5824,4,2,1,RETRY
evaluation_085,cust_0139,merchant_001,411.21,TEMPORARY_FAILURE,NETBANKING,1560,0.1397,0.6530,0.6472,0.3489,1,0,1,REMINDER
evaluation_086,cust_0297,merchant_006,107.96,TEMPORARY_FAILURE,NETBANKING,2469,0.7958,0.4582,0.4219,0.6902,5,1,2,RETRY
evaluation_087,cust_0045,merchant_037,350.05,TEMPORARY_FAILURE,WALLET,863,0.6616,0.7284,0.9236,0.4502,1,0,1,RETRY
evaluation_088,cust_0163,merchant_015,413.32,INSUFFICIENT_FUNDS,WALLET,2042,0.4773,0.3627,0.4381,0.0973,5,4,1,REMINDER
evaluation_089,cust_0256,merchant_029,991.42,PAYMENT_METHOD_ERROR,NETBANKING,1042,0.4611,0.3606,0.1373,0.8217,4,4,0,REMINDER
evaluation_090,cust_0281,merchant_033,604.90,INSUFFICIENT_FUNDS,NETBANKING,2719,0.9199,0.1576,0.4806,0.5607,0,0,0,REMINDER
evaluation_091,cust_0344,merchant_035,486.42,UNKNOWN_FAILURE,NETBANKING,2217,0.6287,0.4497,0.2942,0.6661,1,1,0,RETRY
evaluation_092,cust_0032,merchant_022,927.50,PAYMENT_METHOD_ERROR,CARD,1527,0.1062,0.2386,0.7988,0.2430,3,2,1,REMINDER
evaluation_093,cust_0293,merchant_030,885.20,TEMPORARY_FAILURE,NETBANKING,1551,0.6697,0.2574,0.7516,0.4635,3,1,0,REMINDER
evaluation_094,cust_0172,merchant_005,974.11,UNKNOWN_FAILURE,UPI,2656,0.2402,0.6784,0.3290,0.1887,2,0,0,REMINDER
evaluation_095,cust_0185,merchant_011,130.84,INSUFFICIENT_FUNDS,NETBANKING,1563,0.2220,0.5024,0.2247,0.7739,2,0,0,RETRY
evaluation_096,cust_0015,merchant_045,827.13,TEMPORARY_FAILURE,CARD,198,0.1834,0.0988,0.8487,0.3865,1,0,1,REMINDER
evaluation_097,cust_0298,merchant_034,649.14,TEMPORARY_FAILURE,NETBANKING,705,0.6135,0.8958,0.5181,0.5133,4,0,2,REMINDER
evaluation_098,cust_0310,merchant_030,645.82,TEMPORARY_FAILURE,WALLET,800,0.3878,0.6471,0.7441,0.8304,3,2,1,REMINDER
evaluation_099,cust_0006,merchant_020,509.04,UNKNOWN_FAILURE,WALLET,2833,0.5755,0.7525,0.5989,0.6997,0,0,0,REMINDER
evaluation_100,cust_0284,merchant_018,196.72,TEMPORARY_FAILURE,WALLET,1692,0.2363,0.4025,0.6954,0.6162,2,0,2,REMINDER
