training_example_id,customer_id,merchant_id,amount,failure_category,payment_method,time_since_failure_min,customer_success_rate,customer_failure_rate,payment_method_success_rate,payment_method_failure_rate,previous_recovery_attempts,previous_recovery_successes,previous_recovery_failures,candidate_action,outcome
training_0094,cust_0249,merchant_034,895.64,PAYMENT_METHOD_ERROR,WALLET,877,0.3488,0.8741,0.8521,0.4662,1,1,0,REMINDER,FAILURE
training_0095,cust_0176,merchant_049,736.49,PAYMENT_METHOD_ERROR,NETBANKING,2681,0.2372,0.6512,0.5564,0.5762,3,0,1,REMINDER,FAILURE
training_0096,cust_0258,merchant_010,433.21,INSUFFICIENT_FUNDS,NETBANKING,1612,0.7614,0.6741,0.6552,0.0658,0,0,0,REMINDER,SUCCESS
training_0097,cust_0281,merchant_006,75.30,TEMPORARY_FAILURE,CARD,1763,0.5999,0.0955,0.7526,0.8436,1,0,0,REMINDER,FAILURE
training_0098,cust_0091,merchant_015,411.77,UNKNOWN_FAILURE,CARD,95,0.9135,0.1182,0.6277,0.2638,3,0,0,REMINDER,FAILURE
training_0099,cust_0115,merchant_033,89.28,INSUFFICIENT_FUNDS,UPI,1968,0.8286,0.6727,0.8317,0.7582,3,0,1,REMINDER,FAILURE
training_0100,cust_0258,merchant_014,310.75,UNKNOWN_FAILURE,UPI,2600,0.8587,0.3823,0.4860,0.6347,2,1,0,REMINDER,FAILURE
training_0101,cust_0085,merchant_039,854.33,PAYMENT_METHOD_ERROR,WALLET,195,0.3676,0.4446,0.8746,0.2807,1,1,0,RETRY,FAILURE
training_0102,cust_0316,merchant_007,95.23,INSUFFICIENT_FUNDS,NETBANKING,1828,0.4606,0.8901,0.7040,0.4593,0,0,0,REMINDER,FAILURE
training_0103,cust_0016,merchant_019,964.21,TEMPORARY_FAILURE,CARD,2527,0.3763,0.8259,0.7173,0.0550,3,1,2,RETRY,FAILURE
training_0104,cust_0231,merchant_030,860.35,PAYMENT_METHOD_ERROR,CARD,1489,0.8153,0.8610,0.4017,0.0839,4,4,0,RETRY,FAILURE
training_0105,cust_0287,merchant_036,686.94,UNKNOWN_FAILURE,WALLET,281,0.9364,0.5292,0.3434,0.1686,0,0,0,RETRY,FAILURE
training_0106,cust_0155,merchant_046,275.15,UNKNOWN_FAILURE,NETBANKING,260,0.5084,0.7458,0.3928,0.5594,1,1,0,REMINDER,FAILURE
training_0107,cust_0209,merchant_044,349.15,PAYMENT_METHOD_ERROR,CARD,1405,0.6188,0.5896,0.1597,0.6173,2,0,1,REMINDER,FAILURE
training_0108,cust_0154,merchant_046,849.04,UNKNOWN_FAILURE,WALLET,2355,0.8386,0.5916,0.7759,0.2022,3,1,2,RETRY,FAILURE
training_0109,cust_0116,merchant_041,613.28,INSUFFICIENT_FUNDS,CARD,2019,0.4703,0.4517,0.8242,0.4330,3,0,0,RETRY,SUCCESS
training_0110,cust_0158,merchant_040,527.04,PAYMENT_METHOD_ERROR,WALLET,606,0.1868,0.6981,0.8488,0.7570,0,0,0,RETRY,FAILURE
training_0111,cust_0314,merchant_026,996.51,TEMPORARY_FAILURE,NETBANKING,2785,0.4157,0.1493,0.2596,0.7930,1,0,0,RETRY,FAILURE
training_0112,cust_0184,merchant_008,393.74,INSUFFICIENT_FUNDS,UPI,426,0.5167,0.6133,0.6757,0.8955,4,2,0,RETRY,SUCCESS
training_0113,cust_0063,merchant_012,704.08,TEMPORARY_FAILURE,NETBANKING,2359,0.8221,0.6027,0.4930,0.7886,2,2,0,RETRY,FAILURE
training_0114,cust_0120,merchant_011,29.03,TEMPORARY_FAILURE,WALLET,2246,0.3732,0.8457,0.8806,0.8172,4,2,0,REMINDER,FAILURE
training_0115,cust_0096,merchant_048,58.48,TEMPORARY_FAILURE,NETBANKING,1886,0.8486,0.6624,0.4838,0.2507,5,0,3,RETRY,FAILURE
training_0116,cust_0232,merchant_007,300.80,INSUFFICIENT_FUNDS,WALLET,596,0.7849,0.6915,0.2018,0.8578,3,2,0,REMINDER,FAILURE
training_0117,cust_0350,merchant_009,770.42,TEMPORARY_FAILURE,NETBANKING,1367,0.7916,0.2960,0.7955,0.3888,1,1,0,RETRY,SUCCESS
training_0118,cust_0204,merchant_027,236.20,INSUFFICIENT_FUNDS,WALLET,1431,0.5880,0.7071,0.5035,0.7295,2,1,0,RETRY,FAILURE
training_0119,cust_0280,merchant_012,140.84,PAYMENT_METHOD_ERROR,CARD,2612,0.3164,0.3663,0.7580,0.8651,3,0,1,REMINDER,FAILURE
training_0120,cust_0067,merchant_040,396.66,UNKNOWN_FAILURE,UPI,2019,0.6601,0.1156,0.8231,0.4631,1,1,0,REMINDER,SUCCESS
training_0121,cust_0052,merchant_049,63.91,TEMPORARY_FAILURE,NETBANKING,547,0.3062,0.1398,0.5472,0.3838,4,1,3,REMINDER,FAILURE
training_0122,cust_0204,merchant_038,624.00,TEMPORARY_FAILURE,WALLET,2719,0.3582,0.7923,0.6234,0.3860,3,1,1,RETRY,FAILURE
training_0123,cust_0050,merchant_026,128.41,TEMPORARY_FAILURE,UPI,1514,0.6752,0.7579,0.4873,0.4507,5,0,2,REMINDER,SUCCESS
training_0124,cust_0327,merchant_043,964.51,UNKNOWN_FAILURE,WALLET,1328,0.1135,0.0736,0.1067,0.7858,3,2,1,RETRY,FAILURE
training_0125,cust_0286,merchant_023,93.99,UNKNOWN_FAILURE,NETBANKING,367,0.4211,0.8187,0.6762,0.4867,1,1,0,RETRY,FAILURE
training_0126,cust_0097,merchant_029,431.75,PAYMENT_METHOD_ERROR,UPI,2066,0.4305,0.3217,0.7200,0.6351,5,4,1,RETRY,SUCCESS
training_0127,cust_0140,merchant_024,388.45,TEMPORARY_FAILURE,WALLET,1877,0.3686,0.3115,0.1099,0.7520,0,0,0,REMINDER,FAILURE
training_0128,cust_0259,merchant_001,859.11,PAYMENT_METHOD_ERROR,WALLET,2217,0.4848,0.3466,0.3792,0.7910,1,1,0,RETRY,FAILURE
training_0129,cust_0027,merchant_027,26.18,UNKNOWN_FAILURE,WALLET,2578,0.1634,0.8731,0.5910,0.7022,4,4,0,RETRY,FAILURE
training_0130,cust_0325,merchant_039,921.07,UNKNOWN_FAILURE,CARD,2242,0.1959,0.8887,0.5391,0.3699,5,4,0,RETRY,FAILURE
training_0131,cust_0071,merchant_011,460.90,PAYMENT_METHOD_ERROR,NETBANKING,851,0.1846,0.1133,0.6519,0.4960,5,5,0,RETRY,FAILURE
training_0132,cust_0284,merchant_008,473.20,UNKNOWN_FAILURE,NETBANKING,420,0.5665,0.3202,0.2871,0.6510,2,0,0,RETRY,FAILURE
training_0133,cust_0170,merchant_025,72.16,UNKNOWN_FAILURE,CARD,1180,0.1471,0.4181,0.6957,0.8212,2,2,0,REMINDER,FAILURE
training_0134,cust_0243,merchant_038,715.47,UNKNOWN_FAILURE,NETBANKING,1804,0.3182,0.4579,0.5493,0.4245,1,0,0,REMINDER,FAILURE
training_0135,cust_0066,merchant_045,539.21,UNKNOWN_FAILURE,CARD,1448,0.3401,0.4406,0.5808,0.6491,0,0,0,RETRY,FAILURE
training_0136,cust_0012,merchant_002,308.61,UNKNOWN_FAILURE,NETBANKING,1333,0.2782,0.8126,0.6374,0.7300,2,1,0,RETRY,FAILURE
training_0137,cust_0243,merchant_021,546.76,INSUFFICIENT_FUNDS,UPI,1733,0.4442,0.5454,0.8147,0.1940,3,2,1,RETRY,FAILURE
training_0138,cust_0345,merchant_013,537.32,UNKNOWN_FAILURE,CARD,1510,0.1087,0.2095,0.1944,0.7599,1,0,0,REMINDER,FAILURE
training_0139,cust_0064,merchant_041,992.64,UNKNOWN_FAILURE,NETBANKING,1770,0.5967,0.7071,0.8875,0.3636,0,0,0,REMINDER,FAILURE
training_0140,cust_0098,merchant_036,618.68,TEMPORARY_FAILURE,CARD,456,0.7520,0.7938,0.6568,0.1300,5,0,4,REMINDER,FAILURE
training_0141,cust_0288,merchant_031,4.28,INSUFFICIENT_FUNDS,CARD,1113,0.7604,0.5232,0.8819,0.2631,3,0,2,RETRY,FAILURE
training_0142,cust_0058,merchant_025,539.74,PAYMENT_METHOD_ERROR,NETBANKING,1154,0.1647,0.5687,0.7663,0.2248,5,2,0,REMINDER,SUCCESS
training_0143,cust_0143,merchant_030,880.62,INSUFFICIENT_FUNDS,UPI,2673,0.5291,0.7501,0.4818,0.1544,3,1,1,RETRY,FAILURE
training_0144,cust_0347,merchant_014,573.37,TEMPORARY_FAILURE,NETBANKING,2687,0.5568,0.6752,0.1858,0.3094,2,2,0,RETRY,FAILURE
training_0145,cust_0301,merchant_035,234.36,UNKNOWN_FAILURE,NETBANKING,1864,0.3740,0.0760,0.6419,0.0589,1,0,1,REMINDER,FAILURE
training_0146,cust_0216,merchant_044,427.22,PAYMENT_METHOD_ERROR,WALLET,2658,0.4892,0.7666,0.3686,0.5827,2,1,0,RETRY,FAILURE
training_0147,cust_0201,merchant_009,786.02,PAYMENT_METHOD_ERROR,UPI,870,0.2508,0.3857,0.5959,0.8972,2,0,1,REMINDER,FAILURE
training_0148,cust_0147,merchant_014,913.59,INSUFFICIENT_FUNDS,WALLET,1721,0.9010,0.6362,0.7706,0.0775,4,4,0,RETRY,SUCCESS
training_0149,cust_0253,merchant_004,208.40,PAYMENT_METHOD_ERROR,WALLET,303,0.4222,0.2207,0.5032,0.6751,4,2,2,REMINDER,FAILURE
training_0150,cust_0208,merchant_048,552.34,PAYMENT_METHOD_ERROR,UPI,210,0.4536,0.4071,0.8470,0.3218,4,3,1,RETRY,FAILURE
training_0151,cust_0143,merchant_035,182.85,PAYMENT_METHOD_ERROR,CARD,1865,0.7659,0.1797,0.7486,0.1816,5,0,2,RETRY,FAILURE
training_0152,cust_0235,merchant_023,829.93,UNKNOWN_FAILURE,UPI,91,0.7598,0.7402,0.5585,0.4400,2,2,0,REMINDER,FAILURE
training_0153,cust_0247,merchant_002,245.73,UNKNOWN_FAILURE,CARD,2170,0.5620,0.3115,0.8931,0.7414,0,0,0,RETRY,FAILURE
training_0154,cust_0190,merchant_019,754.51,UNKNOWN_FAILURE,CARD,2234,0.2704,0.1989,0.6859,0.8983,5,2,0,RETRY,FAILURE
training_0155,cust_0290,merchant_001,200.52,UNKNOWN_FAILURE,NETBANKING,2742,0.8625,0.1491,0.2649,0.1996,3,2,0,REMINDER,FAILURE
training_0156,cust_0123,merchant_015,947.81,UNKNOWN_FAILURE,WALLET,1734,0.3650,0.5867,0.6582,0.0594,3,1,0,RETRY,FAILURE
training_0157,cust_0322,merchant_009,325.25,INSUFFICIENT_FUNDS,UPI,523,0.2469,0.4373,0.8682,0.3253,2,0,2,RETRY,FAILURE
training_0158,cust_0178,merchant_020,945.99,INSUFFICIENT_FUNDS,UPI,2643,0.3990,0.8482,0.7345,0.3066,4,0,3,REMINDER,FAILURE
training_0159,cust_0188,merchant_038,517.47,TEMPORARY_FAILURE,WALLET,30,0.9487,0.1029,0.4712,0.1534,4,2,2,RETRY,FAILURE
training_0160,cust_0147,merchant_040,231.83,UNKNOWN_FAILURE,UPI,2111,0.2210,0.8050,0.3224,0.7832,4,3,1,RETRY,FAILURE
training_0161,cust_0033,merchant_036,478.62,UNKNOWN_FAILURE,NETBANKING,1529,0.6704,0.0946,0.6498,0.2185,5,2,0,REMINDER,FAILURE
training_0162,cust_0321,merchant_040,781.01,TEMPORARY_FAILURE,NETBANKING,96,0.8354,0.1423,0.4467,0.3857,4,1,0,REMINDER,FAILURE
training_0163,cust_0158,merchant_048,241.37,PAYMENT_METHOD_ERROR,UPI,2552,0.2623,0.6753,0.4691,0.6956,2,0,0,REMINDER,FAILURE
training_0164,cust_0159,merchant_002,86.12,UNKNOWN_FAILURE,UPI,2527,0.2352,0.6205,0.6466,0.5664,1,1,0,REMINDER,FAILURE
training_0165,cust_0048,merchant_048,495.89,UNKNOWN_FAILURE,UPI,2363,0.3701,0.4165,0.5754,0.7639,4,4,0,REMINDER,FAILURE
training_0166,cust_0192,merchant_046,494.70,INSUFFICIENT_FUNDS,WALLET,569,0.8191,0.8458,0.6248,0.2234,0,0,0,REMINDER,SUCCESS
training_0167,cust_0309,merchant_047,557.57,INSUFFICIENT_FUNDS,UPI,1212,0.9446,0.1106,0.5730,0.6637,2,2,0,REMINDER,FAILURE
training_0168,cust_0004,merchant_003,760.31,INSUFFICIENT_FUNDS,WALLET,2781,0.7163,0.1741,0.5328,0.6138,2,1,1,REMINDER,FAILURE
