evaluation_case_id,candidate_action,true_success_probability,actual_outcome,actual_recovered_amount,intervention_cost
evaluation_053,RETRY,0.152640,SUCCESS,308.54,2.00
evaluation_054,RETRY,0.074360,FAILURE,0.00,2.00
evaluation_055,RETRY,0.365710,FAILURE,0.00,2.00
evaluation_056,RETRY,0.108900,FAILURE,0.00,2.00
evaluation_057,REMINDER,0.050000,FAILURE,0.00,1.00
evaluation_058,RETRY,0.390830,FAILURE,0.00,2.00
evaluation_059,RETRY,0.293720,FAILURE,0.00,2.00
evaluation_060,RETRY,0.288550,FAILURE,0.00,2.00
evaluation_061,REMINDER,0.177620,FAILURE,0.00,1.00
evaluation_062,RETRY,0.075800,FAILURE,0.00,2.00
evaluation_063,RETRY,0.050000,FAILURE,0.00,2.00
evaluation_064,REMINDER,0.103340,FAILURE,0.00,1.00
evaluation_065,RETRY,0.553360,SUCCESS,993.87,2.00
evaluation_066,REMINDER,0.050000,SUCCESS,688.32,1.00
evaluation_067,RETRY,0.373450,FAILURE,0.00,2.00
evaluation_068,REMINDER,0.113070,FAILURE,0.00,1.00
evaluation_069,REMINDER,0.316430,FAILURE,0.00,1.00
evaluation_070,REMINDER,0.153470,FAILURE,0.00,1.00
evaluation_071,RETRY,0.159180,FAILURE,0.00,2.00
evaluation_072,REMINDER,0.050000,FAILURE,0.00,1.00
evaluation_073,RETRY,0.153400,FAILURE,0.00,2.00
evaluation_074,REMINDER,0.050000,FAILURE,0.00,1.00
evaluation_075,REMINDER,0.050000,FAILURE,0.00,1.00
evaluation_076,REMINDER,0.050000,FAILURE,0.00,1.00
evaluation_077,REMINDER,0.180390,FAILURE,0.00,1.00
evaluation_078,REMINDER,0.195400,FAILURE,0.00,1.00
evaluation_079,RETRY,0.333470,SUCCESS,434.27,2.00
evaluation_080,REMINDER,0.050000,FAILURE,0.00,1.00
evaluation_081,RETRY,0.141450,FAILURE,0.00,2.00
evaluation_082,RETRY,0.464960,SUCCESS,647.14,2.00
evaluation_083,REMINDER,0.050000,FAILURE,0.00,1.00
evaluation_084,RETRY,0.291350,SUCCESS,928.89,2.00
evaluation_085,REMINDER,0.050000,FAILURE,0.00,1.00
evaluation_086,RETRY,0.273120,FAILURE,0.00,2.00
evaluation_087,RETRY,0.633200,SUCCESS,350.05,2.00
evaluation_088,REMINDER,0.050000,FAILURE,0.00,1.00
evaluation_089,REMINDER,0.050000,FAILURE,0.00,1.00
evaluation_090,REMINDER,0.372090,SUCCESS,604.90,1.00
evaluation_091,RETRY,0.197450,FAILURE,0.00,2.00
evaluation_092,REMINDER,0.050000,FAILURE,0.00,1.00
evaluation_093,REMINDER,0.050000,FAILURE,0.00,1.00
evaluation_094,REMINDER,0.050000,FAILURE,0.00,1.00
evaluation_095,RETRY,0.061540,FAILURE,0.00,2.00
evaluation_096,REMINDER,0.194760,FAILURE,0.00,1.00
evaluation_097,REMINDER,0.050000,FAILURE,0.00,1.00
evaluation_098,REMINDER,0.050000,FAILURE,0.00,1.00
evaluation_099,REMINDER,0.172430,FAILURE,0.00,1.00
evaluation_100,REMINDER,0.050000,FAILURE,0.00,1.00
